iter	MultiClass
0	1.060353049
1	1.022539483
2	0.9916689867
3	0.9584288408
4	0.9283479081
5	0.9054417209
6	0.8658843506
7	0.8443888055
8	0.8073236236
9	0.7829768208
10	0.7512307233
11	0.7318607551
12	0.7139080925
13	0.6936905052
14	0.6677941579
15	0.6519546659
16	0.6326704534
17	0.618662419
18	0.6040658109
19	0.5860164563
20	0.5704072101
21	0.5568835718
22	0.5439235452
23	0.531586286
24	0.5187863327
25	0.5038481584
26	0.4935446824
27	0.4845907235
28	0.4734073816
29	0.4610246617
30	0.4486203335
31	0.4381495145
32	0.425486489
33	0.4163617664
34	0.4097282101
35	0.4005317262
36	0.3940519319
37	0.3860595964
38	0.3789732972
39	0.3682587866
40	0.361272861
41	0.3554585823
42	0.3487411089
43	0.3426579964
44	0.3351124093
45	0.329165531
46	0.3233874232
47	0.3186861351
48	0.3128027639
49	0.3075497846
50	0.3023112675
51	0.2982940323
52	0.2949693108
53	0.2908785328
54	0.2857618208
55	0.282281888
56	0.2785962132
57	0.2750638721
58	0.2708381335
59	0.2676493935
60	0.2619942721
61	0.2581075358
62	0.2547649161
63	0.252057553
64	0.2488340565
65	0.2454534715
66	0.2422611106
67	0.2377404112
68	0.2329170955
69	0.2292046933
70	0.2240109087
71	0.2200170871
72	0.2179323682
73	0.2133026163
74	0.2106424839
75	0.2078347307
76	0.2058731684
77	0.2025869812
78	0.2000755575
79	0.198167729
80	0.1934254802
81	0.1914530901
82	0.1888446989
83	0.1862964847
84	0.183530333
85	0.1800687447
86	0.1781973198
87	0.1755807098
88	0.1739624082
89	0.1722473982
90	0.1708357554
91	0.1689769468
92	0.167171259
93	0.1652687401
94	0.163858184
95	0.161658211
96	0.1601503427
97	0.1588921948
98	0.1572560447
99	0.1549906586
100	0.1534248141
101	0.1523719309
102	0.1509906931
103	0.1481660856
104	0.1460315115
105	0.1446610971
106	0.1437921671
107	0.1411604081
108	0.1397476935
109	0.1386669869
110	0.1364953562
111	0.1347201367
112	0.1334176613
113	0.1320899486
114	0.1313360739
115	0.1302951488
116	0.1293833925
117	0.1277170902
118	0.1266256194
119	0.1250203416
120	0.1238080197
121	0.1231689742
122	0.1220432279
123	0.1213263201
124	0.1203762626
125	0.1195924975
126	0.1187166466
127	0.1175537492
128	0.1152530154
129	0.1138420944
130	0.1130715685
131	0.1121058981
132	0.1110439622
133	0.1103840051
134	0.1094873979
135	0.1086320461
136	0.1080379263
137	0.107163604
138	0.1064245404
139	0.1057395078
140	0.1048900151
141	0.1035582967
142	0.1019420378
143	0.1012606217
144	0.1005558751
145	0.09951987273
146	0.09903091989
147	0.09851885247
148	0.09788753936
149	0.09734559581
150	0.09674273733
151	0.09599641549
152	0.095522748
153	0.09454126322
154	0.09401249594
155	0.09317399699
156	0.09262156825
157	0.09206268141
158	0.09164461456
159	0.09114237347
160	0.09066794177
161	0.09006489538
162	0.08921240726
163	0.08813877335
164	0.08763292188
165	0.0872069542
166	0.0867209647
167	0.08618483206
168	0.08566858433
169	0.08532798554
170	0.08485490526
171	0.08438877353
172	0.08392501379
173	0.08352094526
174	0.08314829658
175	0.08263953126
176	0.0822438842
177	0.08187309937
178	0.08152707107
179	0.08123809774
180	0.08079431928
181	0.08029165143
182	0.07997724969
183	0.07944899282
184	0.07897268479
185	0.0786750664
186	0.07833761999
187	0.07800260853
188	0.07774652886
189	0.07729959026
190	0.07701779601
191	0.07666004742
192	0.07621051133
193	0.07580899657
194	0.07531958647
195	0.07481087455
196	0.07437506601
197	0.07411288696
198	0.07373757203
199	0.07305966922
200	0.0724741875
201	0.07221007758
202	0.07182218751
203	0.07152251632
204	0.07119396664
205	0.07085666727
206	0.07046788223
207	0.07016339641
208	0.06990566393
209	0.06953631229
210	0.06931377551
211	0.06905026582
212	0.06862587262
213	0.06830945456
214	0.0679043902
215	0.0675480112
216	0.06705054469
217	0.06672433035
218	0.06641083452
219	0.06612289505
220	0.06590087002
221	0.06564421264
222	0.06516251116
223	0.06492856401
224	0.06463065925
225	0.06439060947
226	0.06399427345
227	0.06368934705
228	0.06347111868
229	0.06317341995
230	0.06291282736
231	0.06264305059
232	0.06242931402
233	0.06209895912
234	0.06190194426
235	0.06169826466
236	0.06126091718
237	0.06106418574
238	0.0608469728
239	0.06058448322
240	0.06041440714
241	0.06020736169
242	0.05998085678
243	0.05972260832
244	0.05953222879
245	0.05932981811
246	0.05916240599
247	0.05890386704
248	0.05870966454
249	0.05855230699
250	0.058357391
251	0.05817547484
252	0.05794267203
253	0.05763913394
254	0.05747055123
255	0.05725803809
256	0.05699268512
257	0.05663742436
258	0.05645095205
259	0.05623398054
260	0.05599938958
261	0.05571500269
262	0.05554108246
263	0.0553853338
264	0.05513574495
265	0.0549289152
266	0.05475108423
267	0.05458391515
268	0.05442068953
269	0.05421223465
270	0.05402358872
271	0.05381830918
272	0.05362476589
273	0.05340861042
274	0.05326044365
275	0.0530270314
276	0.05284182928
277	0.0526388079
278	0.05245804267
279	0.05228572541
280	0.05214040174
281	0.05197131884
282	0.05178915627
283	0.05159417825
284	0.05139507053
285	0.05121102008
286	0.05090745407
287	0.05064254706
288	0.05052154336
289	0.05032915588
290	0.05016755223
291	0.05002521851
292	0.0498343392
293	0.04968095781
294	0.0495133296
295	0.04937148178
296	0.0491473356
297	0.04900566673
298	0.04887607764
299	0.04862948417
